scene	region	region_order	exclusion	point_order	x	z	edge_outset
s	s	i	i	i	f	f	f
kashyyyk_main	river	0	0	0	-656.647	-38.718	5.0
kashyyyk_main	river	0	0	1	-696.029	-31.968	5.0
kashyyyk_main	river	0	0	2	-812.005	-83.995	5.0
kashyyyk_main	river	0	0	3	-848.729	-241.738	5.0
kashyyyk_main	river	0	0	4	-941.691	-279.995	5.0
kashyyyk_main	river	0	0	5	-995.997	-236.012	5.0
kashyyyk_main	river	0	0	6	-950.752	-88.052	5.0
kashyyyk_main	river	0	0	7	-775.951	52.037	5.0
kashyyyk_main	river	0	0	8	-847.975	135.997	5.0
kashyyyk_main	river	0	0	9	-760.057	271.964	5.0
kashyyyk_main	river	0	0	10	-732.005	236.002	5.0
kashyyyk_main	river	0	0	11	-784.020	159.986	5.0
kashyyyk_main	river	0	0	12	-723.985	103.970	5.0
kashyyyk_main	river	0	0	13	-648.009	125.659	5.0
kashyyyk_main	river	0	0	14	-531.971	319.998	5.0
kashyyyk_main	river	0	0	15	-424.007	506.366	5.0
kashyyyk_main	river	0	0	16	-419.998	731.999	5.0
kashyyyk_main	river	0	0	17	-295.987	892.000	5.0
kashyyyk_main	river	0	0	18	-204.013	923.960	5.0
kashyyyk_main	river	0	0	19	-155.990	863.979	5.0
kashyyyk_main	river	0	0	20	-124.009	879.962	5.0
kashyyyk_main	river	0	0	21	-116.014	860.039	5.0
kashyyyk_main	river	0	0	22	-156.048	837.313	5.0
kashyyyk_main	river	0	0	23	-216.020	752.849	5.0
kashyyyk_main	river	0	0	24	-392.000	392.015	5.0
kashyyyk_main	river	0	0	25	-438.220	356.005	5.0
kashyyyk_main	river	0	0	26	-468.032	236.007	5.0
kashyyyk_main	river	0	0	27	-542.484	173.073	5.0
kashyyyk_main	river	0	0	28	-557.930	100.033	5.0
kashyyyk_main	river	0	0	29	-642.615	28.039	5.0
kashyyyk_main	river	0	0	30	-631.969	-7.876	5.0
kashyyyk_main	Kachiro_path	1	0	0	-485.448	-94.360	5.0
kashyyyk_main	Kachiro_path	1	0	1	-394.827	-136.028	5.0
kashyyyk_main	Kachiro_path	1	0	2	-311.818	-143.385	5.0
kashyyyk_main	Kachiro_path	1	0	3	-280.005	-162.301	5.0
kashyyyk_main	Kachiro_path	1	0	4	-229.708	-151.114	5.0
kashyyyk_main	Kachiro_path	1	0	5	-224.611	-88.066	5.0
kashyyyk_main	Kachiro_path	1	0	6	-184.001	-52.013	5.0
kashyyyk_main	Kachiro_path	1	0	7	-144.024	-48.165	5.0
kashyyyk_main	Kachiro_path	1	0	8	-120.023	-111.943	5.0
kashyyyk_main	Kachiro_path	1	0	9	-95.957	-140.007	5.0
kashyyyk_main	Kachiro_path	1	0	10	-28.004	-186.044	5.0
kashyyyk_main	Kachiro_path	1	0	11	31.982	-260.110	5.0
kashyyyk_main	Kachiro_path	1	0	12	76.566	-288.030	5.0
